genome_record_id	primary	replicate_b	replicate_c
BG::SAMN07352192	False	False	True
BG::SAMN07352218	True	False	False
BG::SAMN07352219	False	True	False
BG::SAMN07362432	True	True	True
BG::SAMN07362433	True	True	True
BG::SAMN07362434	True	True	True
BG::SAMN07362435	True	True	True
BG::SAMN08136975	True	False	False
BG::SAMN08164941	False	False	True
BG::SAMN08178168	True	True	True
BG::SAMN08395629	False	True	False
BG::SAMN08395632	True	False	True
BG::SAMN08395634	True	True	True
BG::SAMN08395636	False	True	False
BG::SAMN08469397	False	False	True
BG::SAMN08469398	False	True	False
BG::SAMN08471228	False	True	False
BG::SAMN08524449	True	True	True
BG::SAMN08524471	False	False	True
BG::SAMN10176206	True	False	False
BG::SAMN10176213	False	False	True
BG::SAMN10176225	False	True	False
BG::SAMN10176962	False	False	True
BG::SAMN10182702	False	True	False
BG::SAMN10182728	True	False	False
BG::SAMN10298214	False	True	False
BG::SAMN10298220	True	False	False
BG::SAMN10457989	True	True	True
BG::SAMN10525643	True	True	True
BG::SAMN11539680	True	False	False
BG::SAMN11539686	False	True	False
BG::SAMN11539701	False	False	True
BG::SAMN11539704	True	False	False
BG::SAMN11539705	False	False	True
BG::SAMN11821631	False	True	False
BG::SAMN11821785	True	True	True
BG::SAMN11822192	True	True	True
BG::SAMN11822261	False	True	False
BG::SAMN12392429	True	False	False
BG::SAMN12523734	False	False	True
BG::SAMN12523753	False	True	False
BG::SAMN12675034	True	False	False
BG::SAMN12675035	True	False	False
BG::SAMN12675036	False	False	True
BG::SAMN12675040	False	True	False
BG::SAMN12675044	False	True	False
BG::SAMN12675053	False	False	True
BG::SAMN12675064	True	False	False
BG::SAMN12675068	False	True	False
BG::SAMN12675069	True	True	True
BG::SAMN12675070	True	True	True
BG::SAMN12675071	True	False	False
BG::SAMN12675072	True	True	True
BG::SAMN12675074	True	True	True
BG::SAMN12675075	True	True	True
BG::SAMN12675076	False	True	False
BG::SAMN12675078	False	False	True
BG::SAMN12675082	False	False	True
BG::SAMN14488199	False	False	True
BG::SAMN14488305	True	False	False
BG::SAMN14488313	True	False	False
BG::SAMN15396105	True	True	False
BG::SAMN15396107	True	True	True
BG::SAMN15396108	True	True	True
BG::SAMN15396109	True	False	False
BG::SAMN15396110	True	True	True
BG::SAMN15396111	False	True	False
BG::SAMN15396112	True	True	True
BG::SAMN15396113	False	False	True
BG::SAMN15396117	True	False	False
BG::SAMN15396120	False	False	True
BG::SAMN15396121	False	True	False
BG::SAMN15396122	True	False	False
BG::SAMN15396126	False	False	True
BG::SAMN15396130	False	False	True
BG::SAMN15396146	False	False	True
BG::SAMN15396157	True	True	False
BG::SAMN15396159	True	False	False
BG::SAMN15396163	False	True	False
BG::SAMN15396167	False	False	True
BG::SAMN15396172	False	True	False
BG::SAMN15396180	False	True	False
BG::SAMN15396194	True	False	False
BG::SAMN15396201	False	False	True
BG::SAMN15396214	True	False	False
BG::SAMN15396221	False	True	False
BG::SAMN15702625	True	True	True
BG::SAMN16357507	True	True	True
BG::SAMN16357508	False	False	True
BG::SAMN16357509	True	True	True
BG::SAMN16357510	True	True	False
BG::SAMN16378319	False	False	True
BG::SAMN16378322	True	False	False
BG::SAMN16378324	False	True	True
BG::SAMN16378329	False	False	True
BG::SAMN16378331	False	True	False
BG::SAMN16378342	False	False	True
BG::SAMN16378348	False	False	True
BG::SAMN16378352	True	False	False
BG::SAMN16378358	False	True	False
BG::SAMN16378366	True	False	False
BG::SAMN16378370	False	True	False
BG::SAMN16378379	False	True	True
BG::SAMN16378385	False	False	True
BG::SAMN16378393	True	False	False
BG::SAMN16378404	True	True	True
BG::SAMN16378410	False	False	True
BG::SAMN16378412	False	False	True
BG::SAMN16378420	True	False	False
BG::SAMN16378425	True	False	False
BG::SAMN16378544	True	True	True
BG::SAMN16378546	True	True	False
BG::SAMN16378548	False	True	False
BG::SAMN16378549	True	False	False
BG::SAMN16378550	True	False	False
BG::SAMN16378551	True	True	True
BG::SAMN16378556	False	True	False
BG::SAMN16378558	True	True	False
BG::SAMN16378563	False	True	False
BG::SAMN16378565	True	True	False
BG::SAMN16378566	False	True	False
BG::SAMN16378569	False	False	True
BG::SAMN16378570	True	False	False
BG::SAMN16378571	False	False	True
BG::SAMN16378580	False	False	True
BG::SAMN16378587	False	False	True
BG::SAMN16378589	False	False	True
BG::SAMN16378592	True	False	False
BG::SAMN16378594	False	True	False
BG::SAMN16378598	True	False	False
BG::SAMN16378600	False	True	False
BG::SAMN18620695	True	False	False
BG::SAMN18620696	True	False	False
BG::SAMN18620725	False	True	True
BG::SAMN18620734	False	False	True
BG::SAMN18620777	True	False	False
BG::SAMN18620787	False	True	True
BG::SAMN18620792	False	True	False
BG::SAMN18620802	True	True	True
BG::SAMN18620803	False	True	False
BG::SAMN18620807	False	True	True
BG::SAMN18620814	True	True	True
BG::SAMN18620816	True	False	False
BG::SAMN18620823	True	False	False
BG::SAMN18620830	False	False	True
BG::SAMN19416301	True	True	True
BG::SAMN19416302	True	True	True
BG::SAMN19416303	True	True	True
BG::SAMN19416304	True	True	True
BG::SAMN22091640	True	True	True
BG::SAMN27920093	False	True	False
BG::SAMN29408379	True	True	True
BG::SAMN29408390	False	False	True
BG::SAMN36430081	True	False	False
BG::SAMN38572540	True	True	True
BG::SAMN40551699	True	True	True
BG::SAMN40551703	False	True	True
BG::SAMN40551704	True	False	False
BG::SAMN40551705	True	True	True
BG::SAMN43964887	True	True	True
BG::SAMN45987610	False	False	True
BG::SAMN45987611	True	False	False
BG::SAMN45987612	False	False	True
BG::SAMN45987613	True	True	False
BG::SAMN45987638	False	True	False
BG::SAMN45987639	True	False	True
BG::SAMN45987640	True	True	True
BG::SAMN45987642	False	True	False
BG::SAMN45987653	False	False	True
BG::SAMN45987654	False	False	True
BG::SAMN45987655	True	False	False
BG::SAMN45987657	True	False	False
BG::SAMN45987660	False	False	True
BG::SAMN45987661	False	True	False
BG::SAMN45987664	False	True	False
BG::SAMN45987679	False	True	False
BG::SAMN46491808	True	True	True
BG::SAMN48440001	False	False	True
BG::SAMN48440030	True	False	False
