country_iso3	feature	molecular_stratum	prepandemic_l10207	prepandemic_other	prepandemic_total	resurgence_l10207	resurgence_other	resurgence_total	prepandemic_l10207_percent	resurgence_l10207_percent	percentage_point_change	fisher_odds_ratio_resurgence_vs_prepandemic	fisher_conf_low	fisher_conf_high	fisher_p_value	analysis_status	n_prepandemic_projects	n_resurgence_projects	n_projects_in_both_periods	n_shared_projects_min5_each_period	project_overlap_note	fisher_p_bh_exploratory
FRA	source_antigen_profile	ptxP3/fim3-1	0	1	1	5	29	34	0	14.7058823529412	14.7058823529412	NA	NA	NA	NA	descriptive_only_sparse_period	1	2	0	0	no project represented in both periods	NA
FRA	source_antigen_profile	ptxP1/fim3-1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	0	0	0	0	no project represented in both periods	NA
FRA	source_antigen_profile	ptxP3/fim3-2	0	3	3	0	8	8	0	0	0	NA	NA	NA	NA	descriptive_only_sparse_period	2	1	0	0	no project represented in both periods	NA
FRA	frozen_23S_status	MR_A2047G	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	0	0	0	0	no project represented in both periods	NA
FRA	frozen_23S_status	MS	0	6	6	1	5	6	0	16.6666666666667	16.6666666666667	Inf	0.0256406640625	Inf	1	fisher_exact_prespecified	5	2	0	0	no project represented in both periods	1
FRA	frozen_PRN_outcome	intact	0	4	4	1	5	6	0	16.6666666666667	16.6666666666667	NA	NA	NA	NA	descriptive_only_sparse_period	4	2	0	0	no project represented in both periods	NA
FRA	frozen_PRN_outcome	disrupted	0	1	1	0	0	0	0	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	1	0	0	0	no project represented in both periods	NA
FRA	published_MT_label	MS-MT28	0	0	0	4	0	4	NA	100	NA	NA	NA	NA	NA	not_estimable_period_absent	0	1	0	0	no project represented in both periods	NA
FRA	published_MT_label	MR-MT28-PG1	0	0	0	1	0	1	NA	100	NA	NA	NA	NA	NA	not_estimable_period_absent	0	1	0	0	no project represented in both periods	NA
JPN	source_ptxP	ptxP3	0	22	22	7	0	7	0	100	100	Inf	17.2520250612047	Inf	6.40705288381451e-07	fisher_exact_prespecified	2	1	0	0	no project represented in both periods	1.36149873781058e-06
JPN	source_ptxP	ptxP1	0	24	24	0	1	1	0	0	0	NA	NA	NA	NA	descriptive_only_sparse_period	6	1	0	0	no project represented in both periods	NA
JPN	source_fim3	fim3-1	0	42	42	0	0	0	0	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	4	0	0	0	no project represented in both periods	NA
JPN	source_fim3	fim3-2	0	4	4	0	0	0	0	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	1	0	0	0	no project represented in both periods	NA
JPN	source_antigen_profile	ptxP3/fim3-1	0	18	18	0	0	0	0	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	2	0	0	0	no project represented in both periods	NA
JPN	source_antigen_profile	ptxP1/fim3-1	0	22	22	0	0	0	0	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	4	0	0	0	no project represented in both periods	NA
JPN	source_antigen_profile	ptxP3/fim3-2	0	4	4	0	0	0	0	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	1	0	0	0	no project represented in both periods	NA
JPN	frozen_23S_status	MR_A2047G	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	0	0	0	0	no project represented in both periods	NA
JPN	frozen_23S_status	MS	0	19	19	7	1	8	0	87.5	87.5	Inf	8.96802382046382	Inf	9.00870466087858e-06	fisher_exact_prespecified	6	1	0	0	no project represented in both periods	1.70164421372151e-05
JPN	frozen_PRN_outcome	intact	0	18	18	14	2	16	0	87.5	87.5	Inf	13.5434113463482	Inf	8.6208405198815e-08	fisher_exact_prespecified	5	3	0	0	no project represented in both periods	2.09363269768551e-07
JPN	frozen_PRN_outcome	disrupted	0	0	0	2	0	2	NA	100	NA	NA	NA	NA	NA	not_estimable_period_absent	0	1	0	0	no project represented in both periods	NA
JPN	published_MT_label	MS-MT28	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	0	0	0	0	no project represented in both periods	NA
JPN	published_MT_label	MR-MT28-PG1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	not_estimable_period_absent	0	0	0	0	no project represented in both periods	NA
