country_iso3	epidemic_period	lineage_group	feature	category	n_category	n_feature_annotated	n_feature_interpretable	n_feature_missing	n_lineage_tree_total	category_percent_of_annotated	category_percent_of_tree_total
BEL	resurgence	Other_model_lineages	source_ptxP	ptxP3	74	79	79	0	79	93.6708860759494	93.6708860759494
BEL	resurgence	Other_model_lineages	source_ptxP	ptxP1	5	79	79	0	79	6.32911392405063	6.32911392405063
BEL	resurgence	Other_model_lineages	source_fim3	fim3-1	68	79	79	0	79	86.0759493670886	86.0759493670886
BEL	resurgence	Other_model_lineages	source_fim3	fim3-2	6	79	79	0	79	7.59493670886076	7.59493670886076
BEL	resurgence	Other_model_lineages	source_fim3	fim3-4	4	79	79	0	79	5.06329113924051	5.06329113924051
BEL	resurgence	Other_model_lineages	source_fim3	fim3-26	1	79	79	0	79	1.26582278481013	1.26582278481013
BEL	resurgence	Other_model_lineages	source_antigen_profile	ptxP3/fim3-1	68	79	79	0	79	86.0759493670886	86.0759493670886
BEL	resurgence	Other_model_lineages	source_antigen_profile	ptxP3/fim3-2	6	79	79	0	79	7.59493670886076	7.59493670886076
BEL	resurgence	Other_model_lineages	source_antigen_profile	ptxP1/fim3-4	4	79	79	0	79	5.06329113924051	5.06329113924051
BEL	resurgence	Other_model_lineages	source_antigen_profile	ptxP1/fim3-26	1	79	79	0	79	1.26582278481013	1.26582278481013
BEL	resurgence	Other_model_lineages	source_23S_raw	23S_rRNA_1	79	79	79	0	79	100	100
BEL	resurgence	Other_model_lineages	frozen_23S_status	MISSING	79	0	0	79	79		100
BEL	resurgence	Other_model_lineages	frozen_PRN_outcome	MISSING	79	0	0	79	79		100
BEL	resurgence	Other_model_lineages	frozen_PRN_mechanism	MISSING	79	0	0	79	79		100
BEL	resurgence	Other_model_lineages	published_MT_label	MISSING	79	0	0	79	79		100
CHN	prepandemic	L1_02.07	source_ptxP	MISSING	9	3	3	9	12		75
CHN	prepandemic	L1_02.07	source_ptxP	ptxP3	3	3	3	9	12	100	25
CHN	prepandemic	L1_02.07	source_fim3	MISSING	10	2	2	10	12		83.3333333333333
CHN	prepandemic	L1_02.07	source_fim3	fim3-1	2	2	2	10	12	100	16.6666666666667
CHN	prepandemic	L1_02.07	source_antigen_profile	MISSING	10	2	2	10	12		83.3333333333333
CHN	prepandemic	L1_02.07	source_antigen_profile	ptxP3/fim3-1	2	2	2	10	12	100	16.6666666666667
CHN	prepandemic	L1_02.07	source_23S_raw	MISSING	9	3	3	9	12		75
CHN	prepandemic	L1_02.07	source_23S_raw	MS	2	3	3	9	12	66.6666666666667	16.6666666666667
CHN	prepandemic	L1_02.07	source_23S_raw	MR_A2047G	1	3	3	9	12	33.3333333333333	8.33333333333333
CHN	prepandemic	L1_02.07	frozen_23S_status	MISSING	9	3	3	9	12		75
CHN	prepandemic	L1_02.07	frozen_23S_status	MS	2	3	3	9	12	66.6666666666667	16.6666666666667
CHN	prepandemic	L1_02.07	frozen_23S_status	MR_A2047G	1	3	3	9	12	33.3333333333333	8.33333333333333
CHN	prepandemic	L1_02.07	frozen_PRN_outcome	non_interpretable	8	12	4	0	12	66.6666666666667	66.6666666666667
CHN	prepandemic	L1_02.07	frozen_PRN_outcome	intact	4	12	4	0	12	33.3333333333333	33.3333333333333
CHN	prepandemic	L1_02.07	frozen_PRN_mechanism	insufficient_data	8	12	4	0	12	66.6666666666667	66.6666666666667
CHN	prepandemic	L1_02.07	frozen_PRN_mechanism	intact	4	12	4	0	12	33.3333333333333	33.3333333333333
CHN	prepandemic	L1_02.07	published_MT_label	MISSING	10	2	2	10	12		83.3333333333333
CHN	prepandemic	L1_02.07	published_MT_label	MR-MT28-others	1	2	2	10	12	50	8.33333333333333
