model_specification	anchor_month	intervention_start_month	evaluation_start_month	evaluation_end_month	country_iso3	scenario	n_posterior_draws	baseline_cumulative_cases_median	scenario_cumulative_cases_median	cumulative_case_difference_mean	cumulative_case_difference_median	cumulative_case_difference_lower_95	cumulative_case_difference_upper_95	cumulative_difference_fraction_mean	cumulative_difference_fraction_median	cumulative_difference_fraction_lower_95	cumulative_difference_fraction_upper_95	posterior_probability_difference_above_zero	scenario_equals_baseline_all_draws	first_month_baseline_max_abs_error_from_stan_mu
main	2023-12	2024-01	2024-01	2025-12	JPN	l10207_neutral_growth	4000	95532.4852146875	47044.3800920047	125942.435180727	46756.1908781017	15339.8328251073	471049.521438826	0.536013188475949	0.530268748450905	0.29115673988634	0.814801123508233	1	FALSE	1.13686837721616e-13
main	2023-12	2024-01	2024-01	2025-12	JPN	no_post_2022_exposure	4000	95532.4852146875	80252.6592552351	54509.0421256856	13057.1710319836	1882.53707771421	222811.127983373	0.186438400716827	0.145978815275565	0.0258922252337276	0.561566789424801	1	FALSE	1.13686837721616e-13
no_project	2022-06	2022-07	2024-01	2025-12	AUS	l10207_neutral_growth	4000	86501.95326395	81285.670209546	7623.03707552964	4583.72400785617	842.528754147279	28901.0417442739	0.0650776340200184	0.0544440409000486	0.0100785170722124	0.183976833691678	1	FALSE	2.1316282072803e-14
no_project	2022-06	2023-01	2024-01	2025-12	AUS	no_post_2022_exposure	4000	86501.95326395	80068.0489043466	7968.01090354494	4995.1366575798	288.833000002167	33452.9694216062	0.0910264908757346	0.0535443545126101	0.00314600549988711	0.402106546376517	1	FALSE	2.1316282072803e-14
no_project	2022-06	2022-07	2024-01	2025-12	CHN	l10207_neutral_growth	4000	573809.68566324	265887.985807199	593048.407158671	294583.697948736	98197.9725030913	2922840.04624453	0.552425012457941	0.539044894564048	0.313606935060592	0.838835756289494	1	FALSE	1.81898940354586e-12
no_project	2022-06	2023-01	2024-01	2025-12	CHN	no_post_2022_exposure	4000	573809.68566324	573809.68566324	0	0	0	0	0	0	0	0	0	TRUE	1.81898940354586e-12
no_project	2022-06	2022-07	2024-01	2025-12	JPN	l10207_neutral_growth	4000	114153.674953379	61372.2223646145	232152.138104035	50793.8090117381	13718.3696001178	1007919.7286397	0.489024461843809	0.471642812635847	0.229006372745697	0.819974049682925	1	FALSE	2.1316282072803e-14
no_project	2022-06	2023-01	2024-01	2025-12	JPN	no_post_2022_exposure	4000	114153.674953379	98523.9979641618	38520.036167979	10059.5733233579	840.236665602558	225822.289429452	0.153738089292358	0.0850296715835603	0.00631511827666556	0.687475970362111	1	FALSE	2.1316282072803e-14
no_project	2022-12	2023-01	2024-01	2025-12	AUS	l10207_neutral_growth	4000	82621.5599264421	77772.6869500751	6391.01024385057	4296.61723337489	828.306509002757	21863.1074881361	0.0638547072972946	0.0535660053604703	0.0102505461287654	0.178462359568764	1	FALSE	2.1316282072803e-14
no_project	2022-12	2023-01	2024-01	2025-12	AUS	no_post_2022_exposure	4000	82621.5599264421	76032.6420626428	8349.0426440717	5277.85146649645	296.805004569028	34579.6040732083	0.0996185077972335	0.0611672976047939	0.0036034478581865	0.42040863814851	1	FALSE	2.1316282072803e-14
no_project	2022-12	2023-01	2024-01	2025-12	CHN	l10207_neutral_growth	4000	487852.208006332	244260.120181896	352484.850288355	238888.861219188	83731.7852569589	1331138.40059361	0.521603499523766	0.510024338769404	0.302817319056466	0.783204576845297	1	FALSE	6.82121026329696e-13
no_project	2022-12	2023-01	2024-01	2025-12	CHN	no_post_2022_exposure	4000	487852.208006332	487852.208006332	0	0	0	0	0	0	0	0	0	TRUE	6.82121026329696e-13
no_project	2022-12	2023-01	2024-01	2025-12	JPN	l10207_neutral_growth	4000	102910.15319051	57677.1913536344	134298.522272103	44667.4405113633	13047.2863781164	623403.559979273	0.475907282793295	0.460600671164459	0.231657295646625	0.7846940367427	1	FALSE	1.4210854715202e-14
no_project	2022-12	2023-01	2024-01	2025-12	JPN	no_post_2022_exposure	4000	102910.15319051	84993.6340863524	46274.7456432921	14205.5098665452	1312.66175268395	248115.807961245	0.206522915945589	0.136252977633656	0.0112698536282214	0.72539255108459	1	FALSE	1.4210854715202e-14
no_project	2023-06	2023-07	2024-01	2025-12	AUS	l10207_neutral_growth	4000	80525.4719123513	75842.8507648848	5520.60377229309	4055.96430021377	798.593206894536	18332.658091034	0.061143277950952	0.0519143999041246	0.0103842029849074	0.168853540373958	1	FALSE	5.6843418860808e-14
no_project	2023-06	2023-07	2024-01	2025-12	AUS	no_post_2022_exposure	4000	80525.4719123513	73624.4826705792	8474.0791067086	5441.07186882667	293.722288227178	35280.8038439969	0.101856394549369	0.0664929924073556	0.00375217011592494	0.406166925759334	1	FALSE	5.6843418860808e-14
no_project	2023-06	2023-07	2024-01	2025-12	CHN	l10207_neutral_growth	4000	421304.959754646	231619.619007805	239635.579976741	181777.78149227	71809.7952688698	782667.110494352	0.463154935707142	0.452748269019959	0.281710470318294	0.685674800790394	1	FALSE	1.36424205265939e-12
no_project	2023-06	2023-07	2024-01	2025-12	CHN	no_post_2022_exposure	4000	421304.959754646	421304.959754646	0	0	0	0	0	0	0	0	0	TRUE	1.36424205265939e-12
no_project	2023-06	2023-07	2024-01	2025-12	JPN	l10207_neutral_growth	4000	108483.216995941	62420.5588089568	137501.702248561	45366.2384671845	13153.3624458988	657847.322339927	0.455330399444118	0.438440619188047	0.2232244948571	0.762267905178485	1	FALSE	5.6843418860808e-14
no_project	2023-06	2023-07	2024-01	2025-12	JPN	no_post_2022_exposure	4000	108483.216995941	93189.254464816	40175.5161825382	11563.1039606669	1224.79198459047	229355.877986679	0.155516318373709	0.10569828397705	0.0118517388112132	0.577519519470246	1	FALSE	5.6843418860808e-14
no_project	2023-12	2024-01	2024-01	2025-12	AUS	l10207_neutral_growth	4000	79226.6391960784	75232.4559408628	4816.62382711494	3690.77985904398	775.852628609468	15518.9727607677	0.0556520273244354	0.0476795144712547	0.0102958931072641	0.149667604506012	1	FALSE	4.54747350886464e-13
no_project	2023-12	2024-01	2024-01	2025-12	AUS	no_post_2022_exposure	4000	79226.6391960784	72236.6092298797	8439.39949337382	5538.24990605842	327.062432983354	34035.2238787942	0.098421207420485	0.0704500803155452	0.00423932555898403	0.358987624831783	1	FALSE	4.54747350886464e-13
no_project	2023-12	2024-01	2024-01	2025-12	CHN	l10207_neutral_growth	4000	393924.869945398	257297.522866524	163221.073178944	130152.012401983	57870.2488440377	477972.910493641	0.349443087553462	0.340021335084566	0.223116792828937	0.517225146831656	1	FALSE	1.45519152283669e-11
no_project	2023-12	2024-01	2024-01	2025-12	CHN	no_post_2022_exposure	4000	393924.869945398	393924.869945398	0	0	0	0	0	0	0	0	0	TRUE	1.45519152283669e-11
no_project	2023-12	2024-01	2024-01	2025-12	JPN	l10207_neutral_growth	4000	94577.3681724712	56167.0134034489	85248.1458641266	37531.0940894301	11678.9793712316	386726.459019352	0.435122104928362	0.422054475150225	0.22700846180792	0.708716941660227	1	FALSE	1.13686837721616e-13
no_project	2023-12	2024-01	2024-01	2025-12	JPN	no_post_2022_exposure	4000	94577.3681724712	72683.4904517859	56251.3535775543	19999.1787438301	2950.04586452564	299612.471610599	0.265280926890133	0.225667340577338	0.0372554628174643	0.700582149270064	1	FALSE	1.13686837721616e-13
