country_iso3	model_month	lineage	mean	median	lower_95	upper_95
CHN	2024-05-01	L1_02.05	0.000305477897195217	9.45254747517699e-05	1.29374948102676e-06	0.00197263773790858
CHN	2024-05-01	L1_02.06	0.00169289379859605	0.000685608757999972	2.07468924822706e-05	0.00940556079413392
CHN	2024-05-01	L1_02.07	0.995758518376503	0.997804721086043	0.979193114045548	0.999882515453575
CHN	2024-05-01	Other	0.00120531374902289	0.000392440178379695	5.53468060170119e-06	0.00711758629948535
CHN	2024-06-01	L1_01.02	0.000968134304684807	0.000276120514379756	5.25924236097293e-06	0.00645669002920532
CHN	2024-06-01	L1_02.05	0.000277233092980984	8.35150849388629e-05	1.08420502781787e-06	0.00178421855171226
CHN	2024-06-01	L1_02.06	0.00151621964611875	0.000595212770894582	1.71699154877773e-05	0.00845392937909501
CHN	2024-06-01	L1_02.07	0.99618065960796	0.998078549119634	0.980977193581637	0.999899986591519
CHN	2024-06-01	Other	0.00105775334825583	0.000334531130150697	4.39851246402109e-06	0.0062979322350505
CHN	2024-07-01	L1_01.02	0.000903613600175853	0.000247944761255083	4.50955198596106e-06	0.00603711349472252
CHN	2024-07-01	L1_02.05	0.000251675980617662	7.33523946239985e-05	9.08613788654903e-07	0.00162825187269836
CHN	2024-07-01	L1_02.06	0.001358414959166	0.000518717737601518	1.43818346778529e-05	0.0077471372002466
CHN	2024-07-01	L1_02.07	0.996557704595048	0.998301754854634	0.98258600994101	0.999914602863915
CHN	2024-07-01	Other	0.00092859086499295	0.000284836135596725	3.49531465591751e-06	0.00557254003194335
CHN	2024-08-01	L1_01.02	0.000843830344447884	0.000223009255989775	3.8168587926409e-06	0.00567019922309627
CHN	2024-08-01	L1_02.05	0.000228545083400816	6.48957784101132e-05	7.67451914314583e-07	0.00148943699000894
CHN	2024-08-01	L1_02.06	0.00121742662403295	0.000454506241769413	1.20371777210015e-05	0.00700878496417372
CHN	2024-08-01	L1_02.07	0.996894698493377	0.998502087777076	0.984046853887714	0.999927590851633
CHN	2024-08-01	Other	0.000815499454741331	0.000242427144614794	2.77050567567237e-06	0.00495626036505609
CHN	2024-09-01	L1_01.02	0.000788413474017798	0.000200738248299577	3.25259043269524e-06	0.00535765435376844
CHN	2024-09-01	L1_02.05	0.000207604642930166	5.72564118249356e-05	6.45432129015716e-07	0.00135864893475075
CHN	2024-09-01	L1_02.06	0.00109142747970931	0.000397037727549044	9.88181804245364e-06	0.00631297762837441
CHN	2024-09-01	L1_02.07	0.997196105147269	0.998680444209997	0.985312919668907	0.999938920692813
CHN	2024-09-01	Other	0.000716449256074054	0.000205448300753314	2.19859681966702e-06	0.00443446277794864
CHN	2024-10-01	L1_01.02	0.000737021991899099	0.000181416839715578	2.84151406708269e-06	0.00503774591316719
CHN	2024-10-01	L1_02.05	0.000188642114173683	5.06236694885383e-05	5.37580449202894e-07	0.00123980286678847
CHN	2024-10-01	L1_02.06	0.000978791474301422	0.000346445190672205	8.05299113800787e-06	0.00574559159987489
CHN	2024-10-01	L1_02.07	0.997465874989237	0.998836884568928	0.986382242136106	0.999948744865539
CHN	2024-10-01	Other	0.000629669430388815	0.000175278320450662	1.74786177659597e-06	0.0039381006707197
CHN	2024-11-01	L1_01.02	0.000689342556235384	0.000164652352333163	2.44824026332636e-06	0.00477994258500296
