country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
AUS	2021-09-01	38	51.9261426207419	44.5635134081259	60.4946048492066	38	38	38	38	38	38	38	38	38	38	38	38
AUS	2021-10-01	41	39.0537144760655	33.7121234150762	45.4614230912817	41	41	41	41	41	41	41	41	41	41	41	41
AUS	2021-11-01	48	42.189322824601	36.2809554550887	49.3213641160721	48	48	48	48	48	48	48	48	48	48	48	48
AUS	2021-12-01	30	49.2967745387322	42.3286993735567	57.9009404203229	30	30	30	30	30	30	30	30	30	30	30	30
AUS	2022-01-01	41	31.1430504530308	26.611221098362	36.6997994443499	41	41	41	41	41	41	41	41	41	41	41	41
AUS	2022-02-01	43	42.2809238932466	35.9093657081096	49.8617927982181	43	43	43	43	43	43	43	43	43	43	43	43
AUS	2022-03-01	47	44.2758334574309	37.4734590061341	52.0978088122611	47	47	47	47	47	47	47	47	47	47	47	47
AUS	2022-04-01	22	48.229444766223	40.8196768217598	56.712493448166	22	22	22	22	22	22	22	22	22	22	22	22
AUS	2022-05-01	39	22.9591335683917	19.5420363946287	26.7460376578065	39	39	39	39	39	39	39	39	39	39	39	39
AUS	2022-06-01	35	40.2180056401905	34.3891412806332	46.7372229827822	35	35	35	35	35	35	35	35	35	35	35	35
AUS	2022-07-01	42	36.2561864471574	31.0658790459948	42.1940201785502	42	42	42	42	42	42	42	42	42	42	42	42
AUS	2022-08-01	64	43.5942296608602	37.1665853037862	51.0640778915902	64	64	64	64	64	64	64	64	64	64	64	64
AUS	2022-09-01	38	66.4312392687557	56.411378180511	78.1574254463629	38	38	38	38	38	38	38	38	38	38	38	38
AUS	2022-10-01	40	40.2435177875991	34.2493588446057	47.5308905683326	40	40	40	40	40	40	40	40	40	40	40	40
AUS	2022-11-01	35	43.018423389988	36.5732133209226	50.632619690099	35	35	35	35	35	35	35	35	35	35	35	35
AUS	2022-12-01	36	38.5068558562735	32.8860502040941	45.0823924522037	36	36	36	36	36	36	36	36	36	36	36	36
