tree_sample_id	genome_record_id	country_iso3	country_name	collection_lower	collection_upper	collection_upper_effective	temporal_consistency_status	date_resolution	year	month	project_id	run_accession	biosample_accession	assembly_accession	sequence_acquisition	primary_model_lineage_id	display_lineage	epidemic_period	public_date	public_date_source	ena_first_public_date	assembly_release_date	public_route	subnational_location	location_source	location_resolution	nas_snapshot_record_id	lag_from_collection_lower_days	lag_from_collection_upper_days	lag_min_days	lag_max_days	first_post2022_month_above_2019_max	post2022_peak_month	public_lead_to_2019max_threshold_days	public_lead_to_post2022_peak_days	collection_lead_to_2019max_threshold_days	collection_lead_to_post2022_peak_days	country_label
CHN__SAMN42391139	CHN::SAMN42391139	CHN	China	2023-09-12	2023-09-12	2023-09-12	ok	day	2023	9	PRJNA1133929	SRR31303438	SAMN42391139	GCA_047323375	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391139	432	432	432	432	2023-08-01	2024-05-01	-474	-200	-42	232	China
CHN__SAMN42391140	CHN::SAMN42391140	CHN	China	2023-10-15	2023-10-15	2023-10-15	ok	day	2023	10	PRJNA1133929	SRR31303437	SAMN42391140	GCA_047323365	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391140	399	399	399	399	2023-08-01	2024-05-01	-474	-200	-75	199	China
CHN__SAMN42391141	CHN::SAMN42391141	CHN	China	2023-10-20	2023-10-20	2023-10-20	ok	day	2023	10	PRJNA1133929	SRR31303436	SAMN42391141	GCA_047323355	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391141	394	394	394	394	2023-08-01	2024-05-01	-474	-200	-80	194	China
CHN__SAMN42391142	CHN::SAMN42391142	CHN	China	2023-10-28	2023-10-28	2023-10-28	ok	day	2023	10	PRJNA1133929	SRR31303435	SAMN42391142	GCA_047323345	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391142	386	386	386	386	2023-08-01	2024-05-01	-474	-200	-88	186	China
CHN__SAMN42391143	CHN::SAMN42391143	CHN	China	2023-10-30	2023-10-30	2023-10-30	ok	day	2023	10	PRJNA1133929	SRR31303434	SAMN42391143	GCA_047323335	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391143	384	384	384	384	2023-08-01	2024-05-01	-474	-200	-90	184	China
CHN__SAMN42391144	CHN::SAMN42391144	CHN	China	2023-11-10	2023-11-10	2023-11-10	ok	day	2023	11	PRJNA1133929	SRR31303433	SAMN42391144	GCA_047323325	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391144	373	373	373	373	2023-08-01	2024-05-01	-474	-200	-101	173	China
CHN__SAMN42391145	CHN::SAMN42391145	CHN	China	2023-11-08	2023-11-08	2023-11-08	ok	day	2023	11	PRJNA1133929	SRR31303432	SAMN42391145	GCA_047323315	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391145	375	375	375	375	2023-08-01	2024-05-01	-474	-200	-99	175	China
CHN__SAMN42391146	CHN::SAMN42391146	CHN	China	2023-11-13	2023-11-13	2023-11-13	ok	day	2023	11	PRJNA1133929	SRR31303431	SAMN42391146	GCA_047323305	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391146	370	370	370	370	2023-08-01	2024-05-01	-474	-200	-104	170	China
CHN__SAMN42391147	CHN::SAMN42391147	CHN	China	2023-11-14	2023-11-14	2023-11-14	ok	day	2023	11	PRJNA1133929	SRR31303430	SAMN42391147	GCA_047323295	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391147	369	369	369	369	2023-08-01	2024-05-01	-474	-200	-105	169	China
CHN__SAMN42391148	CHN::SAMN42391148	CHN	China	2023-11-22	2023-11-22	2023-11-22	ok	day	2023	11	PRJNA1133929	SRR31303428	SAMN42391148	GCA_047323285	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391148	361	361	361	361	2023-08-01	2024-05-01	-474	-200	-113	161	China
CHN__SAMN42391149	CHN::SAMN42391149	CHN	China	2023-12-19	2023-12-19	2023-12-19	ok	day	2023	12	PRJNA1133929	SRR31303427	SAMN42391149	GCA_047323275	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391149	334	334	334	334	2023-08-01	2024-05-01	-474	-200	-140	134	China
CHN__SAMN42391150	CHN::SAMN42391150	CHN	China	2023-12-29	2023-12-29	2023-12-29	ok	day	2023	12	PRJNA1133929	SRR31303426	SAMN42391150	GCA_047323265	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391150	324	324	324	324	2023-08-01	2024-05-01	-474	-200	-150	124	China
CHN__SAMN44583814	CHN::SAMN44583814	CHN	China	2023-02-04	2023-02-04	2023-02-04	ok	day	2023	2	PRJNA1182239	NA	SAMN44583814	GCA_050978505	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583814	865	865	865	865	2023-08-01	2024-05-01	-687	-413	178	452	China
CHN__SAMN44583815	CHN::SAMN44583815	CHN	China	2023-02-07	2023-02-07	2023-02-07	ok	day	2023	2	PRJNA1182239	NA	SAMN44583815	GCA_050978485	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583815	862	862	862	862	2023-08-01	2024-05-01	-687	-413	175	449	China
CHN__SAMN44583816	CHN::SAMN44583816	CHN	China	2023-03-27	2023-03-27	2023-03-27	ok	day	2023	3	PRJNA1182239	NA	SAMN44583816	GCA_050978445	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583816	814	814	814	814	2023-08-01	2024-05-01	-687	-413	127	401	China
CHN__SAMN44583817	CHN::SAMN44583817	CHN	China	2023-03-27	2023-03-27	2023-03-27	ok	day	2023	3	PRJNA1182239	NA	SAMN44583817	GCA_050978465	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583817	814	814	814	814	2023-08-01	2024-05-01	-687	-413	127	401	China
CHN__SAMN44583818	CHN::SAMN44583818	CHN	China	2023-03-27	2023-03-27	2023-03-27	ok	day	2023	3	PRJNA1182239	NA	SAMN44583818	GCA_050978425	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583818	814	814	814	814	2023-08-01	2024-05-01	-687	-413	127	401	China
CHN__SAMN44583819	CHN::SAMN44583819	CHN	China	2023-04-06	2023-04-06	2023-04-06	ok	day	2023	4	PRJNA1182239	NA	SAMN44583819	GCA_050978385	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583819	804	804	804	804	2023-08-01	2024-05-01	-687	-413	117	391	China
CHN__SAMN44583820	CHN::SAMN44583820	CHN	China	2023-04-23	2023-04-23	2023-04-23	ok	day	2023	4	PRJNA1182239	NA	SAMN44583820	GCA_050978405	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583820	787	787	787	787	2023-08-01	2024-05-01	-687	-413	100	374	China
CHN__SAMN44583821	CHN::SAMN44583821	CHN	China	2023-04-21	2023-04-21	2023-04-21	ok	day	2023	4	PRJNA1182239	NA	SAMN44583821	GCA_050978365	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583821	789	789	789	789	2023-08-01	2024-05-01	-687	-413	102	376	China
CHN__SAMN44583823	CHN::SAMN44583823	CHN	China	2023-06-12	2023-06-12	2023-06-12	ok	day	2023	6	PRJNA1182239	NA	SAMN44583823	GCA_050978325	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583823	737	737	737	737	2023-08-01	2024-05-01	-687	-413	50	324	China
CHN__SAMN44583824	CHN::SAMN44583824	CHN	China	2023-06-12	2023-06-12	2023-06-12	ok	day	2023	6	PRJNA1182239	NA	SAMN44583824	GCA_050978305	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583824	737	737	737	737	2023-08-01	2024-05-01	-687	-413	50	324	China
CHN__SAMN44583825	CHN::SAMN44583825	CHN	China	2023-06-23	2023-06-23	2023-06-23	ok	day	2023	6	PRJNA1182239	NA	SAMN44583825	GCA_050978285	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583825	726	726	726	726	2023-08-01	2024-05-01	-687	-413	39	313	China
CHN__SAMN44583826	CHN::SAMN44583826	CHN	China	2023-07-21	2023-07-21	2023-07-21	ok	day	2023	7	PRJNA1182239	NA	SAMN44583826	GCA_050978265	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583826	698	698	698	698	2023-08-01	2024-05-01	-687	-413	11	285	China
CHN__SAMN44583827	CHN::SAMN44583827	CHN	China	2023-07-30	2023-07-30	2023-07-30	ok	day	2023	7	PRJNA1182239	NA	SAMN44583827	GCA_050978245	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583827	689	689	689	689	2023-08-01	2024-05-01	-687	-413	2	276	China
CHN__SAMN44583828	CHN::SAMN44583828	CHN	China	2023-09-23	2023-09-23	2023-09-23	ok	day	2023	9	PRJNA1182239	NA	SAMN44583828	GCA_050978225	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583828	634	634	634	634	2023-08-01	2024-05-01	-687	-413	-53	221	China
CHN__SAMN44583829	CHN::SAMN44583829	CHN	China	2023-11-10	2023-11-10	2023-11-10	ok	day	2023	11	PRJNA1182239	NA	SAMN44583829	GCA_050978205	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583829	586	586	586	586	2023-08-01	2024-05-01	-687	-413	-101	173	China
CHN__SAMN44583830	CHN::SAMN44583830	CHN	China	2023-11-14	2023-11-14	2023-11-14	ok	day	2023	11	PRJNA1182239	NA	SAMN44583830	GCA_050978175	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583830	582	582	582	582	2023-08-01	2024-05-01	-687	-413	-105	169	China
CHN__SAMN44583831	CHN::SAMN44583831	CHN	China	2023-11-14	2023-11-14	2023-11-14	ok	day	2023	11	PRJNA1182239	NA	SAMN44583831	GCA_050978155	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583831	582	582	582	582	2023-08-01	2024-05-01	-687	-413	-105	169	China
CHN__SAMN44583832	CHN::SAMN44583832	CHN	China	2023-11-16	2023-11-16	2023-11-16	ok	day	2023	11	PRJNA1182239	NA	SAMN44583832	GCA_050978125	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-06-18	ncbi_assembly_release;ncbi_assembly_release	NA	2025-06-18	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN44583832	580	580	580	580	2023-08-01	2024-05-01	-687	-413	-107	167	China
CHN__SAMN45156018	CHN::SAMN45156018	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1193776	SRR31615281	SAMN45156018	RRASM_SRR31615281	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2025-03-23	ena_first_public_biosample_accession;ena_first_public_run	2025-03-23	NA	ena_read_only	Guangzhou	ena_country	subnational	CHN__SAMN45156018	812	448	448	812	2023-08-01	2024-05-01	-600	-326	212	486	China
CHN__SAMN45156024	CHN::SAMN45156024	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1193776	SRR31615323	SAMN45156024	RRASM_SRR31615323	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2025-03-23	ena_first_public_biosample_accession;ena_first_public_run	2025-03-23	NA	ena_read_only	Guangzhou	ena_country	subnational	CHN__SAMN45156024	812	448	448	812	2023-08-01	2024-05-01	-600	-326	212	486	China
CHN__SAMN45156027	CHN::SAMN45156027	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1193776	SRR31615320	SAMN45156027	RRASM_SRR31615320	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2025-03-23	ena_first_public_biosample_accession;ena_first_public_run	2025-03-23	NA	ena_read_only	Guangzhou	ena_country	subnational	CHN__SAMN45156027	812	448	448	812	2023-08-01	2024-05-01	-600	-326	212	486	China
CHN__SAMN45156028	CHN::SAMN45156028	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1193776	SRR31615319	SAMN45156028	RRASM_SRR31615319	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2025-03-23	ena_first_public_biosample_accession;ena_first_public_run	2025-03-23	NA	ena_read_only	Guangzhou	ena_country	subnational	CHN__SAMN45156028	812	448	448	812	2023-08-01	2024-05-01	-600	-326	212	486	China
CHN__SAMN45156030	CHN::SAMN45156030	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1193776	SRR31615317	SAMN45156030	RRASM_SRR31615317	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2025-03-23	ena_first_public_biosample_accession;ena_first_public_run	2025-03-23	NA	ena_read_only	Guangzhou	ena_country	subnational	CHN__SAMN45156030	812	448	448	812	2023-08-01	2024-05-01	-600	-326	212	486	China
CHN__SAMN50152046	CHN::SAMN50152046	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152046	GCA_053472645	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152046	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN50152047	CHN::SAMN50152047	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152047	GCA_053472665	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152047	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN50152049	CHN::SAMN50152049	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152049	GCA_053472595	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152049	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN50152051	CHN::SAMN50152051	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152051	GCA_053472545	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152051	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN50152052	CHN::SAMN50152052	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152052	GCA_053472565	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152052	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN50152053	CHN::SAMN50152053	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152053	GCA_053472525	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152053	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN50152054	CHN::SAMN50152054	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152054	GCA_053472465	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152054	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN50152056	CHN::SAMN50152056	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1295129	NA	SAMN50152056	GCA_053472505	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-11-13	ncbi_assembly_release;ncbi_assembly_release	NA	2025-11-13	ncbi_assembly_only	Shanghai	nas_focal_snapshot	subnational	CHN__SAMN50152056	1047	683	683	1047	2023-08-01	2024-05-01	-835	-561	212	486	China
CHN__SAMN40924133	CHN::SAMN40924133	CHN	China	2024-01-01	2024-12-31	2024-09-29	ok	year	2024	NA	PRJNA1071282	SRR28622232	SAMN40924133	RRASM_SRR28622232	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2024-09-29	ena_first_public_biosample_accession;ena_first_public_run	2024-09-29	NA	ena_read_only	Shanghai	ena_country	subnational	CHN__SAMN40924133	272	-93	0	272	2023-08-01	2024-05-01	-425	-151	-153	121	China
CHN__SAMN40924154	CHN::SAMN40924154	CHN	China	2024-01-01	2024-12-31	2024-09-29	ok	year	2024	NA	PRJNA1071282	SRR28622209	SAMN40924154	RRASM_SRR28622209	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2024-09-29	ena_first_public_biosample_accession;ena_first_public_run	2024-09-29	NA	ena_read_only	Shanghai	ena_country	subnational	CHN__SAMN40924154	272	-93	0	272	2023-08-01	2024-05-01	-425	-151	-153	121	China
