analysis_id	target_lineage	comparator_lineage	probability_target_greater	median_log_ratio	lower_95_log_ratio	upper_95_log_ratio
omit_country_JPN	L1_02.07	L1_02.06	1	0.133031718138949	0.087866992019966	0.192508785870784
omit_country_JPN	L1_02.07	Other	1	0.15724464124143	0.10708071207484	0.22904098074508
omit_country_AUS_no_project	L1_02.07	L1_01.02	1	0.305051966808163	0.099535587508709	0.669373507978995
omit_country_AUS_no_project	L1_02.07	L1_02.05	1	0.277524248353573	0.101640279115244	0.644900895630188
omit_country_AUS_no_project	L1_02.07	L1_02.06	1	0.142976804507318	0.0960883509846619	0.202623231699489
omit_country_AUS_no_project	L1_02.07	Other	1	0.115984866427395	0.0878176804057627	0.152829708713191
omit_country_CHN_no_project	L1_02.07	L1_01.02	0.9975	0.0696504200990185	0.0204012026642276	0.146314050843635
omit_country_CHN_no_project	L1_02.07	L1_02.05	0.99975	0.0834232229683942	0.0438478656096665	0.156628764347708
omit_country_CHN_no_project	L1_02.07	L1_02.06	1	0.0979454294808493	0.0552338298662964	0.175588853922421
omit_country_CHN_no_project	L1_02.07	Other	1	0.292272460660435	0.12001066735975	0.634832668674803
omit_country_JPN_no_project	L1_02.07	L1_01.02	1	0.0829598195568899	0.0413038870817796	0.12918213385455
omit_country_JPN_no_project	L1_02.07	L1_02.05	1	0.092412605343372	0.0577281295972656	0.132950992316661
omit_country_JPN_no_project	L1_02.07	L1_02.06	1	0.114556415942633	0.0823739728676509	0.154235356507526
omit_country_JPN_no_project	L1_02.07	Other	1	0.108393744168918	0.082119754813272	0.141546284201001
omit_dominant_project_AUS	L1_02.07	L1_01.02	1	0.318313782771355	0.10908199041795	0.675874836321643
omit_dominant_project_AUS	L1_02.07	L1_02.05	1	0.321459362107686	0.120711487663509	0.6674720332157
omit_dominant_project_AUS	L1_02.07	L1_02.06	1	0.144056851864261	0.0937661102418894	0.214017747543011
omit_dominant_project_AUS	L1_02.07	Other	1	0.158594136855674	0.110847580516653	0.234413950760194
omit_dominant_project_CHN	L1_02.07	L1_01.02	1	0.108084884624374	0.0520979321824288	0.177378227093627
omit_dominant_project_CHN	L1_02.07	L1_02.05	1	0.130899437798471	0.0809772953703012	0.207802732654163
omit_dominant_project_CHN	L1_02.07	L1_02.06	1	0.152684260283784	0.0946898773729765	0.229164546397405
omit_dominant_project_CHN	L1_02.07	Other	1	0.165152191309688	0.111898931499863	0.237782744368663
omit_dominant_project_JPN	L1_02.07	L1_01.02	1	0.100967360286338	0.0495452376051484	0.160761698850084
omit_dominant_project_JPN	L1_02.07	L1_02.05	1	0.12022116336179	0.0758949383754332	0.183583211259383
omit_dominant_project_JPN	L1_02.07	L1_02.06	1	0.138224020849247	0.0951643841958855	0.196919718042372
omit_dominant_project_JPN	L1_02.07	Other	1	0.163414656477696	0.116042995380927	0.236111313014709
