country_iso3	model_month	project_id	preliminary_lineage_id	n_genome_candidates	n_genome_observation_eligible	n_sampling_process_observed	lineage_definition_status	data_freeze_date
BEL	2023-06-01	PRJEB88325	others	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-07-01	PRJEB88325	Europe sublineage 1	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-07-01	PRJEB88325	Europe sublineage 2	5	5	5	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-07-01	PRJEB88325	MS-MT28	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-07-01	PRJEB88325	others	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-07-01	PRJEB88325	ptxP3/fim3-2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-08-01	PRJEB88325	Europe sublineage 1	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-08-01	PRJEB88325	Europe sublineage 2	9	9	9	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-09-01	PRJEB88325	Europe sublineage 1	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-09-01	PRJEB88325	Europe sublineage 2	7	7	7	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-09-01	PRJEB88325	MS-MT28	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-10-01	PRJEB88325	Europe sublineage 1	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-10-01	PRJEB88325	Europe sublineage 2	6	6	6	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-10-01	PRJEB88325	others	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-10-01	PRJEB88325	ptxP3/fim3-2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-11-01	PRJEB88325	Europe sublineage 1	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-11-01	PRJEB88325	Europe sublineage 2	9	9	9	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-11-01	PRJEB88325	ptxP3/fim3-1	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-11-01	PRJEB88325	ptxP3/fim3-2	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-12-01	PRJEB88325	Europe sublineage 1	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-12-01	PRJEB88325	Europe sublineage 2	14	14	14	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-12-01	PRJEB88325	MS-MT28	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-12-01	PRJEB88325	others	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-12-01	PRJEB88325	ptxP3/fim3-2	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-07-01	PRJNA1133929	ptxP1/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-08-01	PRJNA1133929	ptxP1/fim3-1	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-09-01	PRJNA1133929	ptxP1/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-10-01	PRJNA1133929	ptxP1/fim3-1	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-10-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-11-01	PRJNA1133929	ptxP1/fim3-1	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-12-01	PRJNA1133929	ptxP1/fim3-1	9	9	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2021-12-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-02-01	PRJNA1133929	ptxP1/fim3-1	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-02-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-03-01	PRJNA1133929	ptxP1/fim3-1	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-03-01	PRJNA1133929	ptxP3/fim3-1	5	5	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-04-01	PRJNA1133929	ptxP1/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-04-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-05-01	PRJNA1133929	ptxP1/fim3-1	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-05-01	PRJNA1133929	ptxP3/fim3-1	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-06-01	PRJNA1133929	ptxP3/fim3-1	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-08-01	PRJNA1133929	ptxP1/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-08-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2022-08-01	PRJNA934177	ptxP3	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-02-01	PRJNA1182239	PENDING_LINEAGE_TYPING	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-03-01	PRJNA1182239	PENDING_LINEAGE_TYPING	3	3	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-04-01	PRJNA1182239	PENDING_LINEAGE_TYPING	3	3	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-05-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-06-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-06-01	PRJNA1182239	PENDING_LINEAGE_TYPING	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-07-01	PRJNA1182239	PENDING_LINEAGE_TYPING	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-08-01	PRJNA1133929	ptxP3/fim3-1	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-09-01	PRJNA1133929	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-09-01	PRJNA1182239	PENDING_LINEAGE_TYPING	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-10-01	PRJNA1133929	ptxP3/fim3-1	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-11-01	PRJNA1133929	ptxP3/fim3-1	5	5	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-11-01	PRJNA1182239	PENDING_LINEAGE_TYPING	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2023-12-01	PRJNA1133929	ptxP3/fim3-1	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-01-01	PRJNA1182239	PENDING_LINEAGE_TYPING	10	10	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-02-01	PRJNA1182239	PENDING_LINEAGE_TYPING	30	30	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-03-01	PRJNA1182239	PENDING_LINEAGE_TYPING	119	119	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-04-01	PRJNA1143937	ptxP3/fim3-1	7	7	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-04-01	PRJNA1182239	PENDING_LINEAGE_TYPING	69	69	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-05-01	PRJNA1143937	PENDING_LINEAGE_TYPING	12	12	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-05-01	PRJNA1143937	ptxP3/fim3-1	6	6	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-05-01	PRJNA1182239	PENDING_LINEAGE_TYPING	63	63	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-06-01	PRJNA1143937	PENDING_LINEAGE_TYPING	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-06-01	PRJNA1182239	PENDING_LINEAGE_TYPING	45	45	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-07-01	PRJNA1182239	PENDING_LINEAGE_TYPING	34	34	0	preliminary_only_pending_new_phylogeny	2026-07-24
CHN	2024-08-01	PRJNA1182239	PENDING_LINEAGE_TYPING	24	24	0	preliminary_only_pending_new_phylogeny	2026-07-24
FRA	2024-05-01	PRJNA1135758	ptxP3/fim3-1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2024-09-01	PRJDB35593	ptxP3	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2024-11-01	PRJDB35593	ptxP3	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2024-12-01	PRJDB20292	PENDING_LINEAGE_TYPING	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2024-12-01	PRJDB20413	PENDING_LINEAGE_TYPING	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2024-12-01	PRJDB35593	ptxP1	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2024-12-01	PRJDB35593	ptxP3	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-01-01	PRJDB20413	PENDING_LINEAGE_TYPING	13	13	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-01-01	PRJDB35593	ptxP3	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-02-01	PRJDB20413	PENDING_LINEAGE_TYPING	6	6	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-02-01	PRJDB37898	PENDING_LINEAGE_TYPING	8	8	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-03-01	PRJDB34249	PENDING_LINEAGE_TYPING	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-03-01	PRJDB37898	PENDING_LINEAGE_TYPING	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-04-01	PRJDB37898	PENDING_LINEAGE_TYPING	4	4	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-05-01	PRJDB34249	PENDING_LINEAGE_TYPING	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-05-01	PRJDB37898	PENDING_LINEAGE_TYPING	12	12	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-06-01	PRJDB37898	PENDING_LINEAGE_TYPING	15	15	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-07-01	PRJDB34249	PENDING_LINEAGE_TYPING	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
JPN	2025-10-01	PRJDB34249	PENDING_LINEAGE_TYPING	1	1	0	preliminary_only_pending_new_phylogeny	2026-07-24
