genome_record_id	sample_id	biosample_accession	assembly_accession	run_accession	country_iso3	country_name	collection_date_raw	date_lower	date_upper	year	month	quarter	date_resolution	date_month_or_quarter	project_id	project_id_source	source_dataset	source_role	model_denominator_role	genome_candidate	genome_qc_status	genome_observation_eligible	sampling_process_observed	sequencing_success	ct_value	specimen_type	preliminary_lineage_id	lineage_definition_status	published_branch	published_lineage	published_sublineage	ptxP_label	fim3_label	marker_23s_status	duplicate_of_focal	duplicate_group_size	data_freeze_date	provenance_note
JPN::SAMD01697913	SAMD01697913	SAMD01697913	RRASM_DRR902053	DRR902053	JPN	Japan	2025-02-25	2025-02-25	2025-02-25	2025	2	1	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697915	SAMD01697915	SAMD01697915	RRASM_DRR902055	DRR902055	JPN	Japan	2025-02-25	2025-02-25	2025-02-25	2025	2	1	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697916	SAMD01697916	SAMD01697916	RRASM_DRR902056	DRR902056	JPN	Japan	2025-02-25	2025-02-25	2025-02-25	2025	2	1	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697917	SAMD01697917	SAMD01697917	RRASM_DRR902057	DRR902057	JPN	Japan	2025-02-25	2025-02-25	2025-02-25	2025	2	1	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697918	SAMD01697918	SAMD01697918	RRASM_DRR902058	DRR902058	JPN	Japan	2025-02-25	2025-02-25	2025-02-25	2025	2	1	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697919	SAMD01697919	SAMD01697919	RRASM_DRR902059	DRR902059	JPN	Japan	2025-03-03	2025-03-03	2025-03-03	2025	3	1	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697920	SAMD01697920	SAMD01697920	RRASM_DRR902060	DRR902060	JPN	Japan	2025-03-07	2025-03-07	2025-03-07	2025	3	1	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697925	SAMD01697925	SAMD01697925	RRASM_DRR902065	DRR902065	JPN	Japan	2025-04-22	2025-04-22	2025-04-22	2025	4	2	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697933	SAMD01697933	SAMD01697933	RRASM_DRR902073	DRR902073	JPN	Japan	2025-06-09	2025-06-09	2025-06-09	2025	6	2	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41188918	SAMEA41188918	SAMEA41188918	RRASM_ERR1775138	ERR1775138	JPN	Japan	1999	1999-01-01	1999-12-31	1999			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41203918	SAMEA41203918	SAMEA41203918	RRASM_ERR1775158	ERR1775158	JPN	Japan	1996	1996-01-01	1996-12-31	1996			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41209918	SAMEA41209918	SAMEA41209918	RRASM_ERR1775166	ERR1775166	JPN	Japan	2001	2001-01-01	2001-12-31	2001			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41218918	SAMEA41218918	SAMEA41218918	RRASM_ERR1775178	ERR1775178	JPN	Japan	2003	2003-01-01	2003-12-31	2003			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41221918	SAMEA41221918	SAMEA41221918	RRASM_ERR1775182	ERR1775182	JPN	Japan	2004	2004-01-01	2004-12-31	2004			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41226418	SAMEA41226418	SAMEA41226418	RRASM_ERR1775188	ERR1775188	JPN	Japan	1992	1992-01-01	1992-12-31	1992			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41234668	SAMEA41234668	SAMEA41234668	RRASM_ERR1775199	ERR1775199	JPN	Japan	2006	2006-01-01	2006-12-31	2006			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41249668	SAMEA41249668	SAMEA41249668	RRASM_ERR1775219	ERR1775219	JPN	Japan	1994	1994-01-01	1994-12-31	1994			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41254918	SAMEA41254918	SAMEA41254918	RRASM_ERR1775226	ERR1775226	JPN	Japan	2011	2011-01-01	2011-12-31	2011			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41297668	SAMEA41297668	SAMEA41297668	RRASM_ERR1775283	ERR1775283	JPN	Japan	2008	2008-01-01	2008-12-31	2008			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41306668	SAMEA41306668	SAMEA41306668	RRASM_ERR1775295	ERR1775295	JPN	Japan	2009	2009-01-01	2009-12-31	2009			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMEA41311168	SAMEA41311168	SAMEA41311168	RRASM_ERR1775301	ERR1775301	JPN	Japan	2010	2010-01-01	2010-12-31	2010			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00328237	SAMD00328237	SAMD00328237	GCA_019974435		JPN	Japan	2018	2018-01-01	2018-12-31	2018			year	False	PRJDB7578	assembly_metadata	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP1/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00549575	SAMD00549575	SAMD00549575	GCA_026001265		JPN	Japan	2018	2018-01-01	2018-12-31	2018			year	False	PRJDB7578	assembly_metadata	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP1/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00570813	SAMD00570813	SAMD00570813	GCA_055380295		JPN	Japan	2020	2020-01-01	2020-12-31	2020			year	False	PRJDB7578	assembly_metadata	current_2406_archive	focal_model_observation	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00885979	SAMD00885979	SAMD00885979	GCA_054658115	DRR900761	JPN	Japan	2024-12-09	2024-12-09	2024-12-09	2024	12	4	day	True	PRJDB20292	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00885980	SAMD00885980	SAMD00885980	GCA_054658095	DRR900762	JPN	Japan	2024-12-09	2024-12-09	2024-12-09	2024	12	4	day	True	PRJDB20292	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892034	SAMD00892034	SAMD00892034	GCA_054656595	DRR902019	JPN	Japan	2024-12-14	2024-12-14	2024-12-14	2024	12	4	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892035	SAMD00892035	SAMD00892035	GCA_054656535	DRR902020	JPN	Japan	2025-01-06	2025-01-06	2025-01-06	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892036	SAMD00892036	SAMD00892036	GCA_054656515	DRR902021	JPN	Japan	2025-01-15	2025-01-15	2025-01-15	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892037	SAMD00892037	SAMD00892037	GCA_054656475	DRR902022	JPN	Japan	2025-01-14	2025-01-14	2025-01-14	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892038	SAMD00892038	SAMD00892038	GCA_054656415	DRR902023	JPN	Japan	2025-01-21	2025-01-21	2025-01-21	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892039	SAMD00892039	SAMD00892039	GCA_054656375	DRR902024	JPN	Japan	2025-01-24	2025-01-24	2025-01-24	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892040	SAMD00892040	SAMD00892040	GCA_054656335	DRR902025	JPN	Japan	2025-01-22	2025-01-22	2025-01-22	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892041	SAMD00892041	SAMD00892041	GCA_054656295	DRR902026	JPN	Japan	2025-01-21	2025-01-21	2025-01-21	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892042	SAMD00892042	SAMD00892042	GCA_054656255	DRR902027	JPN	Japan	2025-01-25	2025-01-25	2025-01-25	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892043	SAMD00892043	SAMD00892043	GCA_054656235	DRR902028	JPN	Japan	2025-01-25	2025-01-25	2025-01-25	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892044	SAMD00892044	SAMD00892044	GCA_054656175	DRR902029	JPN	Japan	2025-01-28	2025-01-28	2025-01-28	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892045	SAMD00892045	SAMD00892045	GCA_054656135	DRR902030	JPN	Japan	2025-02-03	2025-02-03	2025-02-03	2025	2	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892046	SAMD00892046	SAMD00892046	GCA_054656075	DRR902031	JPN	Japan	2025-02-03	2025-02-03	2025-02-03	2025	2	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892047	SAMD00892047	SAMD00892047	GCA_054656035	DRR902032	JPN	Japan	2025-02-07	2025-02-07	2025-02-07	2025	2	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00892048	SAMD00892048	SAMD00892048	GCA_054656015	DRR902033	JPN	Japan	2025-01-30	2025-01-30	2025-01-30	2025	1	1	day	True	PRJDB20413	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
