query_project_id	run_accession	sample_accession	study_accession	collection_date	country	first_public
PRJDB34249	DRR900586	SAMD00920280	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900579	SAMD00920273	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900580	SAMD00920274	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900583	SAMD00920277	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900584	SAMD00920278	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900588	SAMD00920282	PRJDB34249	2025	Japan:Tottori	2026-01-25
PRJDB34249	DRR900589	SAMD01797761	PRJDB34249	2025-03	Japan:Tottori	2026-01-25
PRJDB34249	DRR900591	SAMD01797763	PRJDB34249	2025-07	Japan:Tottori	2026-01-25
PRJDB34249	DRR900577	SAMD00920271	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900582	SAMD00920276	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900587	SAMD00920281	PRJDB34249	2025	Japan:Tottori	2026-01-25
PRJDB34249	DRR900590	SAMD01797762	PRJDB34249	2025-05	Japan:Tottori	2026-01-25
PRJDB34249	DRR900592	SAMD01797764	PRJDB34249	2025-10	Japan:Tottori	2026-01-25
PRJDB37898	DRR902044	SAMD01697904	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902045	SAMD01697905	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902049	SAMD01697909	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902053	SAMD01697913	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902055	SAMD01697915	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902058	SAMD01697918	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902064	SAMD01697924	PRJDB37898	2025-04-14	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902066	SAMD01697926	PRJDB37898	2025-04-22	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902068	SAMD01697928	PRJDB37898	2025-06-02	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902069	SAMD01697929	PRJDB37898	2025-06-02	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902071	SAMD01697931	PRJDB37898	2025-06-09	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902073	SAMD01697933	PRJDB37898	2025-06-09	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902079	SAMD01697939	PRJDB37898	2025-06-16	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902046	SAMD01697906	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902048	SAMD01697908	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902054	SAMD01697914	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902063	SAMD01697923	PRJDB37898	2025-04-02	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902065	SAMD01697925	PRJDB37898	2025-04-22	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902067	SAMD01697927	PRJDB37898	2025-06-02	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902070	SAMD01697930	PRJDB37898	2025-06-02	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902072	SAMD01697932	PRJDB37898	2025-06-09	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902075	SAMD01697935	PRJDB37898	2025-06-16	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902077	SAMD01697937	PRJDB37898	2025-06-16	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902039	SAMD01697899	PRJDB37898	2025-05-01	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902040	SAMD01697900	PRJDB37898	2025-05-01	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902041	SAMD01697901	PRJDB37898	2025-05-19	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902042	SAMD01697902	PRJDB37898	2025-05-19	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902043	SAMD01697903	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902047	SAMD01697907	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902050	SAMD01697910	PRJDB37898	2025-05-26	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902051	SAMD01697911	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902052	SAMD01697912	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902056	SAMD01697916	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902057	SAMD01697917	PRJDB37898	2025-02-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902059	SAMD01697919	PRJDB37898	2025-03-03	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902060	SAMD01697920	PRJDB37898	2025-03-07	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902061	SAMD01697921	PRJDB37898	2025-03-31	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902062	SAMD01697922	PRJDB37898	2025-03-31	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902074	SAMD01697934	PRJDB37898	2025-06-16	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902076	SAMD01697936	PRJDB37898	2025-06-16	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902078	SAMD01697938	PRJDB37898	2025-06-09	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902080	SAMD01697940	PRJDB37898	2025-06-25	Japan:Okinawa	2026-01-27
PRJDB37898	DRR902081	SAMD01697941	PRJDB37898	2025-06-25	Japan:Okinawa	2026-01-27
PRJNA1133929	SRR31303426	SAMN42391150	PRJNA1133929	2023-12-29	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303432	SAMN42391145	PRJNA1133929	2023-11-08	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303433	SAMN42391144	PRJNA1133929	2023-11-10	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303435	SAMN42391142	PRJNA1133929	2023-10-28	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303436	SAMN42391141	PRJNA1133929	2023-10-20	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303438	SAMN42391139	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303441	SAMN42391137	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303442	SAMN42391136	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303444	SAMN42391134	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303446	SAMN42391132	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303447	SAMN42391131	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303452	SAMN42391127	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303453	SAMN42391126	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303454	SAMN42391125	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303455	SAMN42391124	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303456	SAMN42391123	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303459	SAMN42391120	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303462	SAMN42391107	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303463	SAMN42391106	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303471	SAMN42391099	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303474	SAMN42391097	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303475	SAMN42391096	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303476	SAMN42391095	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303477	SAMN42391113	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303478	SAMN42391115	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303481	SAMN42391093	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303484	SAMN42391094	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303424	SAMN42391089	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303425	SAMN42391111	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303427	SAMN42391149	PRJNA1133929	2023-12-19	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303430	SAMN42391147	PRJNA1133929	2023-11-14	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303434	SAMN42391143	PRJNA1133929	2023-10-30	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303440	SAMN42391109	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303443	SAMN42391135	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303448	SAMN42391130	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303449	SAMN42391129	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303451	SAMN42391108	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303460	SAMN42391119	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303461	SAMN42391118	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303464	SAMN42391104	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303466	SAMN42391102	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303469	SAMN42391101	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303480	SAMN42391112	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303482	SAMN42391092	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303483	SAMN42391091	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303485	SAMN42391088	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303423	SAMN42391090	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303428	SAMN42391148	PRJNA1133929	2023-11-22	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303429	SAMN42391110	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303431	SAMN42391146	PRJNA1133929	2023-11-13	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303437	SAMN42391140	PRJNA1133929	2023-10-15	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303439	SAMN42391138	PRJNA1133929	2023-08-30	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303445	SAMN42391133	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303450	SAMN42391128	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303457	SAMN42391122	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303458	SAMN42391121	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303465	SAMN42391103	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303467	SAMN42391117	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303468	SAMN42391116	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303470	SAMN42391100	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303472	SAMN42391098	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303473	SAMN42391105	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1133929	SRR31303479	SAMN42391114	PRJNA1133929	2023-01-01	China: Zhejiang	2024-11-17
PRJNA1199062	SRR31743822	SAMN45810565	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743823	SAMN45810564	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743827	SAMN45810560	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743828	SAMN45810506	PRJNA1199062	2019-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743834	SAMN45810554	PRJNA1199062	2024-07	Australia: South Australia	2025-01-16
PRJNA1199062	SRR31743840	SAMN45810549	PRJNA1199062	2024-05	Australia: Australian Capital Territory	2025-01-16
PRJNA1199062	SRR31743842	SAMN45810547	PRJNA1199062	2019-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743846	SAMN45810543	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743856	SAMN45810590	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743858	SAMN45810599	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743859	SAMN45810598	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743860	SAMN45810600	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743861	SAMN45810596	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743863	SAMN45810586	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743864	SAMN45810584	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743878	SAMN45810558	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743879	SAMN45811366	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743880	SAMN45811367	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743882	SAMN45810541	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743884	SAMN45811371	PRJNA1199062	2024-06	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743890	SAMN45810591	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743891	SAMN45810590	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743895	SAMN45810587	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743897	SAMN45810585	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743899	SAMN45810583	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743901	SAMN45810581	PRJNA1199062	2024-04	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743907	SAMN45810576	PRJNA1199062	2024-04	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743914	SAMN45810507	PRJNA1199062	2019-10	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743917	SAMN45810567	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743918	SAMN45810537	PRJNA1199062	2016-04	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743924	SAMN45810531	PRJNA1199062	2023-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743925	SAMN45810530	PRJNA1199062	2017-12	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743932	SAMN45810524	PRJNA1199062	2018-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743933	SAMN45810523	PRJNA1199062	2019-12	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743935	SAMN45810521	PRJNA1199062	2012-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743936	SAMN45810520	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743937	SAMN45810502	PRJNA1199062	2024-04	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743938	SAMN45810544	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743941	SAMN45810546	PRJNA1199062	2018-11	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743945	SAMN45810643	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743946	SAMN45810641	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743947	SAMN45810601	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743949	SAMN45810603	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743950	SAMN45810540	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743951	SAMN45810515	PRJNA1199062	2024-06	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743952	SAMN45810514	PRJNA1199062	2024-04	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743964	SAMN45810638	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743965	SAMN45810637	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743967	SAMN45810635	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743969	SAMN45810633	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743972	SAMN45810630	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743973	SAMN45810513	PRJNA1199062	2024-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743974	SAMN45810629	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743981	SAMN45810622	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743984	SAMN45810512	PRJNA1199062	2024-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743986	SAMN45810618	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743989	SAMN45810615	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743990	SAMN45810614	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743992	SAMN45810612	PRJNA1199062	2024-10	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743999	SAMN45810606	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31744002	SAMN45810603	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31744006	SAMN45810510	PRJNA1199062	2023-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31744008	SAMN45810500	PRJNA1199062	2024-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743819	SAMN45810597	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743821	SAMN45810566	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743824	SAMN45810563	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743825	SAMN45810562	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743832	SAMN45810556	PRJNA1199062	2024-07	Australia: South Australia	2025-01-16
PRJNA1199062	SRR31743833	SAMN45810555	PRJNA1199062	2024-07	Australia: South Australia	2025-01-16
PRJNA1199062	SRR31743835	SAMN45810553	PRJNA1199062	2024-07	Australia: South Australia	2025-01-16
PRJNA1199062	SRR31743836	SAMN45810552	PRJNA1199062	2024-07	Australia: South Australia	2025-01-16
PRJNA1199062	SRR31743838	SAMN45810550	PRJNA1199062	2015-12	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743843	SAMN45810546	PRJNA1199062	2018-11	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743845	SAMN45810544	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743847	SAMN45810542	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743848	SAMN45810541	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743851	SAMN45810539	PRJNA1199062	2018-10	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743852	SAMN45810538	PRJNA1199062	2016-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743854	SAMN45810518	PRJNA1199062	2023-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743855	SAMN45810605	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743865	SAMN45810517	PRJNA1199062	2024-06	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743869	SAMN45811369	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743872	SAMN45810564	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743875	SAMN45810560	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743885	SAMN45810595	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743886	SAMN45810504	PRJNA1199062	2024-06	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743887	SAMN45810594	PRJNA1199062	2024-09	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743892	SAMN45810509	PRJNA1199062	2020-04	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743896	SAMN45810586	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743898	SAMN45810584	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743900	SAMN45810582	PRJNA1199062	2024-05	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743817	SAMN45810599	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743902	SAMN45810580	PRJNA1199062	2024-05	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743903	SAMN45810508	PRJNA1199062	2020-01	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743905	SAMN45810578	PRJNA1199062	2024-05	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743906	SAMN45810577	PRJNA1199062	2024-03	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743908	SAMN45810575	PRJNA1199062	2019-03	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743818	SAMN45810598	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743909	SAMN45810574	PRJNA1199062	2016-04	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743820	SAMN45810596	PRJNA1199062	2024-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743911	SAMN45810572	PRJNA1199062	2016-02	Australia: Western Australia	2025-01-16
PRJNA1199062	SRR31743826	SAMN45810561	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743912	SAMN45810571	PRJNA1199062	2016-01	Australia: Victoria	2025-01-16
PRJNA1199062	SRR31743829	SAMN45810559	PRJNA1199062	2024-07	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743916	SAMN45810568	PRJNA1199062	2024-01	Australia: Victoria	2025-01-16
PRJNA1199062	SRR31743830	SAMN45810558	PRJNA1199062	2024-01	Australia: Queensland	2025-01-16
PRJNA1199062	SRR31743921	SAMN45810534	PRJNA1199062	2023-10	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743922	SAMN45810533	PRJNA1199062	2023-08	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743831	SAMN45810557	PRJNA1199062	2024-07	Australia: South Australia	2025-01-16
PRJNA1199062	SRR31743930	SAMN45810526	PRJNA1199062	2018-12	Australia: New South Wales	2025-01-16
PRJNA1199062	SRR31743837	SAMN45810551	PRJNA1199062	2024-06	Australia: Tasmania	2025-01-16
