country_iso3	model_month	project_id	primary_model_lineage_id	n_tree_genomes
BEL	2020-01-01	PRJEB88325	L1_02.07	1
BEL	2020-02-01	PRJEB88325	L1_02.05	1
BEL	2020-03-01	PRJEB88325	L1_02.05	4
BEL	2020-03-01	PRJEB88325	L1_02.06	2
BEL	2020-04-01	PRJEB88325	L1_02.06	3
BEL	2020-05-01	PRJEB88325	L1_02.05	1
BEL	2022-08-01	PRJEB88325	L1_02.06	1
BEL	2022-11-01	PRJEB88325	L1_02.06	2
BEL	2023-01-01	PRJEB88325	L1_02.06	1
BEL	2023-03-01	PRJEB88325	L1_02.06	1
BEL	2023-04-01	PRJEB88325	L1_02.06	3
BEL	2023-05-01	PRJEB88325	L1_02.06	4
BEL	2023-06-01	PRJEB88325	L1_01.02	1
BEL	2023-06-01	PRJEB88325	L1_02.06	7
BEL	2023-07-01	PRJEB88325	L1_01.02	2
BEL	2023-07-01	PRJEB88325	L1_02.05	1
BEL	2023-07-01	PRJEB88325	L1_02.06	6
BEL	2023-07-01	PRJEB88325	L1_02.07	1
BEL	2023-08-01	PRJEB88325	L1_02.06	10
BEL	2023-09-01	PRJEB88325	L1_02.06	8
BEL	2023-09-01	PRJEB88325	L1_02.07	1
BEL	2023-10-01	PRJEB88325	L1_01.02	1
BEL	2023-10-01	PRJEB88325	L1_02.05	1
BEL	2023-10-01	PRJEB88325	L1_02.06	8
BEL	2023-11-01	PRJEB88325	L1_02.05	2
BEL	2023-11-01	PRJEB88325	L1_02.06	10
BEL	2023-12-01	PRJEB88325	L1_01.02	1
BEL	2023-12-01	PRJEB88325	L1_02.05	2
BEL	2023-12-01	PRJEB88325	L1_02.06	10
BEL	2023-12-01	PRJEB88325	L1_02.07	1
CHN	2014-09-01	PRJNA530108	Other	1
CHN	2016-02-01	PRJNA934182	L1_02.06	1
CHN	2016-06-01	PRJNA934183	Other	1
CHN	2018-04-01	PRJNA934178	L1_02.07	1
CHN	2018-08-01	PRJNA488737	Other	1
CHN	2021-07-01	PRJNA1133929	Other	1
CHN	2021-08-01	PRJNA1133929	Other	2
CHN	2021-09-01	PRJNA1133929	Other	1
CHN	2021-10-01	PRJNA1133929	L1_02.06	1
CHN	2021-10-01	PRJNA1133929	Other	2
CHN	2021-11-01	PRJNA1133929	Other	4
CHN	2021-12-01	PRJNA1133929	L1_02.07	1
CHN	2021-12-01	PRJNA1133929	Other	8
CHN	2022-02-01	PRJNA1133929	L1_02.07	1
CHN	2022-02-01	PRJNA1133929	Other	2
CHN	2022-03-01	PRJNA1133929	L1_02.07	5
CHN	2022-03-01	PRJNA1133929	Other	4
CHN	2022-04-01	PRJNA1133929	L1_02.07	1
CHN	2022-04-01	PRJNA1133929	Other	1
CHN	2022-05-01	PRJNA1133929	L1_02.07	4
CHN	2022-05-01	PRJNA1133929	Other	2
CHN	2022-06-01	PRJNA1133929	L1_02.07	2
CHN	2022-08-01	PRJNA1133929	L1_02.07	1
CHN	2022-08-01	PRJNA1133929	Other	1
CHN	2022-08-01	PRJNA934177	L1_02.07	1
CHN	2023-02-01	PRJNA1182239	L1_02.07	2
CHN	2023-03-01	PRJNA1182239	L1_02.07	3
CHN	2023-04-01	PRJNA1182239	L1_02.07	3
CHN	2023-05-01	PRJNA1133929	L1_02.07	1
CHN	2023-06-01	PRJNA1133929	L1_02.07	1
CHN	2023-06-01	PRJNA1182239	L1_02.06	1
CHN	2023-06-01	PRJNA1182239	L1_02.07	3
CHN	2023-07-01	PRJNA1182239	L1_02.07	2
CHN	2023-08-01	PRJNA1133929	L1_02.07	4
CHN	2023-09-01	PRJNA1133929	L1_02.07	1
CHN	2023-09-01	PRJNA1182239	L1_02.07	1
CHN	2023-10-01	PRJNA1133929	L1_02.07	4
CHN	2023-11-01	PRJNA1133929	L1_02.07	5
CHN	2023-11-01	PRJNA1182239	L1_02.07	4
CHN	2023-12-01	PRJNA1133929	L1_02.07	2
CHN	2024-01-01	PRJNA1182239	L1_02.07	8
CHN	2024-02-01	PRJNA1182239	L1_02.07	8
CHN	2024-03-01	PRJNA1182239	L1_02.07	8
CHN	2024-04-01	PRJNA1143937	L1_02.07	7
CHN	2024-04-01	PRJNA1182239	L1_02.07	8
CHN	2024-05-01	PRJNA1143937	L1_02.07	11
CHN	2024-05-01	PRJNA1182239	L1_02.07	8
CHN	2024-06-01	PRJNA1143937	L1_02.07	1
CHN	2024-06-01	PRJNA1182239	L1_02.07	8
CHN	2024-07-01	PRJNA1182239	L1_02.07	8
CHN	2024-08-01	PRJNA1182239	L1_02.07	8
FRA	2024-05-01	PRJNA1135758	L1_02.06	1
JPN	2024-09-01	PRJDB35593	L1_02.07	2
JPN	2024-11-01	PRJDB35593	L1_02.07	1
JPN	2024-12-01	PRJDB20292	L1_02.07	2
JPN	2024-12-01	PRJDB20413	L1_02.07	1
JPN	2024-12-01	PRJDB35593	L1_01.02	1
JPN	2024-12-01	PRJDB35593	L1_02.07	2
JPN	2025-01-01	PRJDB20413	L1_02.06	1
JPN	2025-01-01	PRJDB20413	L1_02.07	7
JPN	2025-01-01	PRJDB35593	L1_02.07	2
JPN	2025-02-01	PRJDB20413	L1_02.07	6
JPN	2025-02-01	PRJDB37898	L1_02.07	8
JPN	2025-03-01	PRJDB34249	L1_02.05	1
JPN	2025-03-01	PRJDB37898	L1_02.06	1
JPN	2025-03-01	PRJDB37898	L1_02.07	1
JPN	2025-04-01	PRJDB37898	L1_02.07	1
JPN	2025-05-01	PRJDB34249	L1_02.07	1
JPN	2025-05-01	PRJDB37898	L1_02.07	7
JPN	2025-06-01	PRJDB37898	L1_02.07	3
JPN	2025-07-01	PRJDB34249	L1_02.07	1
JPN	2025-10-01	PRJDB34249	L1_02.07	1
