project_id	run_accession	sample_accession	collection_date	country	first_public	comparison_status	gapfill_success_n	gapfill_success_runs	qc_decision	qc_reason	checkm_completeness	checkm_contamination	nas_match_status
PRJNA1071282	SRR27796021	SAMN39683190	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796022	SAMN39683189	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796022					paper_comparison
PRJNA1071282	SRR27796023	SAMN39683188	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796024	SAMN39683187	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796025	SAMN39683186	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796026	SAMN39683185	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796027	SAMN39683184	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796028	SAMN39683183	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796029	SAMN39682886	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796030	SAMN39683182	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796030					paper_comparison
PRJNA1071282	SRR27796031	SAMN39683052	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796031					paper_comparison
PRJNA1071282	SRR27796032	SAMN39683051	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796033	SAMN39683050	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796034	SAMN39683049	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796035	SAMN39683048	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796035					paper_comparison
PRJNA1071282	SRR27796036	SAMN39683047	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796037	SAMN39683046	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796037					paper_comparison
PRJNA1071282	SRR27796038	SAMN39683045	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796039	SAMN39683044	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796039					paper_comparison
PRJNA1071282	SRR27796040	SAMN39683043	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796041	SAMN39682872	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796042	SAMN39683042	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796043	SAMN39683041	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796044	SAMN39683040	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796044					paper_comparison
PRJNA1071282	SRR27796045	SAMN39683039	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796046	SAMN39683038	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796046					paper_comparison
PRJNA1071282	SRR27796047	SAMN39683037	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796048	SAMN39683036	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796049	SAMN39683035	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796049					paper_comparison
PRJNA1071282	SRR27796050	SAMN39683034	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796051	SAMN39683033	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796052	SAMN39682871	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796052					paper_comparison
PRJNA1071282	SRR27796053	SAMN39683032	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796053					paper_comparison
PRJNA1071282	SRR27796054	SAMN39683031	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796055	SAMN39683030	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796056	SAMN39683029	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796057	SAMN39683028	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796058	SAMN39683027	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796058					paper_comparison
PRJNA1071282	SRR27796059	SAMN39683026	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796060	SAMN39683025	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796060					paper_comparison
PRJNA1071282	SRR27796061	SAMN39683024	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796061					paper_comparison
PRJNA1071282	SRR27796062	SAMN39683023	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796062					paper_comparison
PRJNA1071282	SRR27796063	SAMN39682870	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796064	SAMN39683022	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796065	SAMN39683021	2019	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796065					paper_comparison
PRJNA1071282	SRR27796066	SAMN39683020	2019	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796067	SAMN39683116	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796067					paper_comparison
PRJNA1071282	SRR27796068	SAMN39683115	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796068					paper_comparison
PRJNA1071282	SRR27796069	SAMN39683114	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796070	SAMN39683113	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796070					paper_comparison
PRJNA1071282	SRR27796071	SAMN39682879	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796071					paper_comparison
PRJNA1071282	SRR27796072	SAMN39683112	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796072					paper_comparison
PRJNA1071282	SRR27796073	SAMN39683111	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796074	SAMN39683110	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
