nas_snapshot_record_id	tree_sample_id	country_iso3	project_id	run_accession	biosample_accession	assembly_accession	assembly_release_date	collection_date_raw	geo_raw	sequencing_tech	source_database	match_status
CHN__SAMN07329783	CHN__SAMN07329783	CHN	PRJNA393244	SRR5814329	SAMN07329783	RRASM_SRR5814329					local_fasta	unmatched_frozen_record
CHN__SAMN07329785	CHN__SAMN07329785	CHN	PRJNA393244	SRR5814350	SAMN07329785	RRASM_SRR5814350					local_fasta	unmatched_frozen_record
CHN__SAMN07329787	CHN__SAMN07329787	CHN	PRJNA393244	SRR5814348	SAMN07329787	RRASM_SRR5814348					local_fasta	unmatched_frozen_record
CHN__SAMN07329789	CHN__SAMN07329789	CHN	PRJNA393244	SRR5814346	SAMN07329789	RRASM_SRR5814346					local_fasta	unmatched_frozen_record
CHN__SAMN07329790	CHN__SAMN07329790	CHN	PRJNA393244	SRR5814345	SAMN07329790	RRASM_SRR5814345					local_fasta	unmatched_frozen_record
CHN__SAMN07329793	CHN__SAMN07329793	CHN	PRJNA393244	SRR5814342	SAMN07329793	RRASM_SRR5814342					local_fasta	unmatched_frozen_record
CHN__SAMN09941175	CHN__SAMN09941175	CHN	PRJNA488737		SAMN09941175	GCA_014856975	2020-10-06	2018-08-21	China	Illumina MiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN09947459	CHN__SAMN09947459	CHN	PRJNA489102	SRR8661712	SAMN09947459	RRASM_SRR8661712					local_fasta	unmatched_frozen_record
CHN__SAMN09947460	CHN__SAMN09947460	CHN	PRJNA489102	SRR8661713	SAMN09947460	RRASM_SRR8661713					local_fasta	unmatched_frozen_record
CHN__SAMN09947464	CHN__SAMN09947464	CHN	PRJNA489102	SRR8661717	SAMN09947464	RRASM_SRR8661717					local_fasta	unmatched_frozen_record
CHN__SAMN09947467	CHN__SAMN09947467	CHN	PRJNA489102	SRR8661724	SAMN09947467	RRASM_SRR8661724					local_fasta	unmatched_frozen_record
CHN__SAMN09947473	CHN__SAMN09947473	CHN	PRJNA489102	SRR8661722	SAMN09947473	RRASM_SRR8661722					local_fasta	unmatched_frozen_record
CHN__SAMN09947475	CHN__SAMN09947475	CHN	PRJNA489102	SRR8661730	SAMN09947475	RRASM_SRR8661730					local_fasta	unmatched_frozen_record
CHN__SAMN09947486	CHN__SAMN09947486	CHN	PRJNA489102	SRR8661733	SAMN09947486	RRASM_SRR8661733					local_fasta	unmatched_frozen_record
CHN__SAMN09947492	CHN__SAMN09947492	CHN	PRJNA489102	SRR8661735	SAMN09947492	RRASM_SRR8661735					local_fasta	unmatched_frozen_record
CHN__SAMN09947493	CHN__SAMN09947493	CHN	PRJNA489102	SRR8661686	SAMN09947493	RRASM_SRR8661686					local_fasta	unmatched_frozen_record
CHN__SAMN11295233	CHN__SAMN11295233	CHN	PRJNA530108		SAMN11295233	GCA_008330005	2019-09-09	2014-09-25	China:Beijing	PacBio	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN17613197	CHN__SAMN17613197	CHN	PRJNA695405		SAMN17613197	GCA_023101445	2022-04-25	2018	China	Illumina HiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN17613198	CHN__SAMN17613198	CHN	PRJNA695405		SAMN17613198	GCA_023101465	2022-04-25	2018	China	Illumina HiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN22233915	CHN__SAMN22233915	CHN	PRJNA770762	SRR16303914	SAMN22233915	RRASM_SRR16303914					local_fasta	unmatched_frozen_record
CHN__SAMN22233918	CHN__SAMN22233918	CHN	PRJNA770762	SRR16303911	SAMN22233918	RRASM_SRR16303911					local_fasta	unmatched_frozen_record
CHN__SAMN22233923	CHN__SAMN22233923	CHN	PRJNA770762	SRR16303952	SAMN22233923	RRASM_SRR16303952					local_fasta	unmatched_frozen_record
CHN__SAMN22233924	CHN__SAMN22233924	CHN	PRJNA770762	SRR16303951	SAMN22233924	RRASM_SRR16303951					local_fasta	unmatched_frozen_record
CHN__SAMN22851881	CHN__SAMN22851881	CHN	PRJNA777368		SAMN22851881	GCA_023612135	2022-05-31	1951	China	PacBio Sequel	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN32033974	CHN__SAMN32033974	CHN	PRJNA908268	SRR22541019	SAMN32033974	RRASM_SRR22541019					local_fasta	unmatched_frozen_record
CHN__SAMN32033981	CHN__SAMN32033981	CHN	PRJNA908268	SRR22541043	SAMN32033981	RRASM_SRR22541043					local_fasta	unmatched_frozen_record
CHN__SAMN32033992	CHN__SAMN32033992	CHN	PRJNA908268	SRR22541028	SAMN32033992	RRASM_SRR22541028					local_fasta	unmatched_frozen_record
CHN__SAMN32033997	CHN__SAMN32033997	CHN	PRJNA908268	SRR22541023	SAMN32033997	RRASM_SRR22541023					local_fasta	unmatched_frozen_record
CHN__SAMN32034026	CHN__SAMN32034026	CHN	PRJNA908268	SRR22540991	SAMN32034026	RRASM_SRR22540991					local_fasta	unmatched_frozen_record
CHN__SAMN32034035	CHN__SAMN32034035	CHN	PRJNA908268	SRR22540981	SAMN32034035	RRASM_SRR22540981					local_fasta	unmatched_frozen_record
CHN__SAMN32034055	CHN__SAMN32034055	CHN	PRJNA908268	SRR22540959	SAMN32034055	RRASM_SRR22540959					local_fasta	unmatched_frozen_record
CHN__SAMN32034068	CHN__SAMN32034068	CHN	PRJNA908268	SRR22540945	SAMN32034068	RRASM_SRR22540945					local_fasta	unmatched_frozen_record
CHN__SAMN33268551	CHN__SAMN33268551	CHN	PRJNA934177		SAMN33268551	GCA_028747705	2023-02-21	2022-08	China: Shanghai	PacBio	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN33268552	CHN__SAMN33268552	CHN	PRJNA934178		SAMN33268552	GCA_028747725	2023-02-21	2018-04	China: Shanghai	PacBio	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN33268689	CHN__SAMN33268689	CHN	PRJNA934182		SAMN33268689	GCA_028747745	2023-02-21	2016-02	China: Shanghai	PacBio	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN33268690	CHN__SAMN33268690	CHN	PRJNA934183		SAMN33268690	GCA_028747765	2023-02-21	2016-06	China: Shanghai	PacBio	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN39682877	CHN__SAMN39682877	CHN	PRJNA1071282	SRR27796093	SAMN39682877	RRASM_SRR27796093					local_fasta	unmatched_frozen_record
CHN__SAMN39682878	CHN__SAMN39682878	CHN	PRJNA1071282	SRR27796082	SAMN39682878	RRASM_SRR27796082					local_fasta	unmatched_frozen_record
CHN__SAMN39682971	CHN__SAMN39682971	CHN	PRJNA1071282	SRR27796120	SAMN39682971	RRASM_SRR27796120					local_fasta	unmatched_frozen_record
CHN__SAMN39683154	CHN__SAMN39683154	CHN	PRJNA1071282	SRR27796276	SAMN39683154	RRASM_SRR27796276					local_fasta	unmatched_frozen_record
CHN__SAMN39683174	CHN__SAMN39683174	CHN	PRJNA1071282	SRR27796254	SAMN39683174	RRASM_SRR27796254					local_fasta	unmatched_frozen_record
CHN__SAMN39683176	CHN__SAMN39683176	CHN	PRJNA1071282	SRR27796252	SAMN39683176	RRASM_SRR27796252					local_fasta	unmatched_frozen_record
CHN__SAMN39683227	CHN__SAMN39683227	CHN	PRJNA1071282	SRR27796474	SAMN39683227	RRASM_SRR27796474					local_fasta	unmatched_frozen_record
CHN__SAMN39683296	CHN__SAMN39683296	CHN	PRJNA1071282	SRR27796613	SAMN39683296	RRASM_SRR27796613					local_fasta	unmatched_frozen_record
CHN__SAMN39683299	CHN__SAMN39683299	CHN	PRJNA1071282	SRR27796610	SAMN39683299	RRASM_SRR27796610					local_fasta	unmatched_frozen_record
CHN__SAMN39683369	CHN__SAMN39683369	CHN	PRJNA1071282	SRR27796182	SAMN39683369	RRASM_SRR27796182					local_fasta	unmatched_frozen_record
CHN__SAMN39683412	CHN__SAMN39683412	CHN	PRJNA1071282	SRR27796171	SAMN39683412	RRASM_SRR27796171					local_fasta	unmatched_frozen_record
CHN__SAMN39683447	CHN__SAMN39683447	CHN	PRJNA1071282	SRR27796352	SAMN39683447	RRASM_SRR27796352					local_fasta	unmatched_frozen_record
CHN__SAMN39683481	CHN__SAMN39683481	CHN	PRJNA1071282	SRR27796588	SAMN39683481	RRASM_SRR27796588					local_fasta	unmatched_frozen_record
CHN__SAMN39683486	CHN__SAMN39683486	CHN	PRJNA1071282	SRR27796582	SAMN39683486	RRASM_SRR27796582					local_fasta	unmatched_frozen_record
CHN__SAMN40924133	CHN__SAMN40924133	CHN	PRJNA1071282	SRR28622232	SAMN40924133	RRASM_SRR28622232					local_fasta	unmatched_frozen_record
CHN__SAMN40924154	CHN__SAMN40924154	CHN	PRJNA1071282	SRR28622209	SAMN40924154	RRASM_SRR28622209					local_fasta	unmatched_frozen_record
CHN__SAMN41373914	CHN__SAMN41373914	CHN	PRJNA1110622		SAMN41373914	GCA_039679045	2024-05-18	2019	China: Hebei	Illumina HiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN41373915	CHN__SAMN41373915	CHN	PRJNA1110622		SAMN41373915	GCA_039679025	2024-05-18	2019	China: Hebei	Illumina HiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN41373916	CHN__SAMN41373916	CHN	PRJNA1110622		SAMN41373916	GCA_039679005	2024-05-18	2019	China: Hebei	Illumina HiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN41373917	CHN__SAMN41373917	CHN	PRJNA1110622		SAMN41373917	GCA_039678985	2024-05-18	2019	China: Hebei	Illumina HiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
